GENDER,AGE_GRP,VISIT_ORDER,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,DGSTFN,VISIT_AREA_NM,X_COORD,Y_COORD
1.0,20.0,13,2.0,1.0,5.0,3.0,6.0,3.0,5.0,용연계곡,126.514431,33.51276463
1.0,40.0,3,3.0,1.0,3.0,4.0,3.0,4.0,3.0,황우지선녀탕,126.54889,33.23946324
0.0,20.0,13,4.0,1.0,6.0,5.0,1.0,2.0,2.0,서복전시관,126.5708889,33.24491119
0.0,20.0,14,4.0,4.0,2.0,4.0,4.0,4.0,5.0,중문색달해수욕장,126.4114987,33.24503815
1.0,20.0,13,1.0,7.0,1.0,1.0,7.0,1.0,4.0,김창민씨네식당,126.4295619,33.48506858
0.0,30.0,15,4.0,1.0,1.0,1.0,1.0,4.0,5.0,블랑로쉐,126.9578853,33.5156836
1.0,20.0,3,7.0,7.0,7.0,6.0,1.0,4.0,3.0,본태박물관,126.3924797,33.3037709
0.0,20.0,6,4.0,2.0,6.0,6.0,2.0,5.0,4.0,작은 멀곶,,
1.0,20.0,10,1.0,1.0,1.0,3.0,1.0,7.0,5.0,중앙전통시장,128.4246424,34.84529376
1.0,20.0,24,5.0,3.0,6.0,6.0,2.0,6.0,5.0,제주동문재래야시장,126.5260174,33.51158875
1.0,20.0,7,2.0,3.0,2.0,2.0,5.0,1.0,4.0,자매국수 본점,126.5170077,33.51681563
1.0,20.0,6,7.0,1.0,1.0,7.0,1.0,6.0,5.0,협재해수욕장,126.2391575,33.39386608
1.0,20.0,17,1.0,1.0,1.0,1.0,7.0,1.0,3.0,삼미횟집,126.463726,33.50459088
0.0,20.0,11,4.0,2.0,7.0,7.0,7.0,5.0,5.0,뉴제주렌터카,126.502568,33.50992804
0.0,20.0,29,6.0,7.0,2.0,4.0,7.0,1.0,3.0,지미스,126.9677762,33.4976545
0.0,20.0,11,2.0,1.0,6.0,2.0,7.0,5.0,5.0,돌담쉼팡,126.9153483,33.46076487
0.0,20.0,13,4.0,1.0,3.0,5.0,6.0,3.0,5.0,포도뮤지엄,126.3859695,33.31927276
1.0,20.0,6,2.0,1.0,7.0,4.0,5.0,5.0,5.0,올레길 17코스(광령-제주원도심 올레),126.4726048,33.50563877
1.0,30.0,15,2.0,1.0,6.0,2.0,7.0,6.0,5.0,구좌읍세화 월정리그때그집,126.8548339,33.52711193
1.0,30.0,17,4.0,6.0,5.0,1.0,1.0,7.0,5.0,제주선채향,126.2989856,33.22636757
1.0,20.0,18,2.0,1.0,2.0,5.0,3.0,7.0,4.0,대복해장국,126.7520941,33.55499031
1.0,20.0,9,2.0,2.0,6.0,4.0,5.0,5.0,3.0,바인드,126.5253163,33.51383643
1.0,20.0,15,2.0,1.0,4.0,3.0,2.0,7.0,5.0,무인제주,126.3014517,33.44853871
1.0,20.0,12,5.0,5.0,5.0,3.0,5.0,6.0,4.0,광치기해변,126.9238966,33.45231691
0.0,20.0,7,6.0,2.0,1.0,6.0,5.0,2.0,4.0,루나피크닉,126.3222855,33.25413393
0.0,20.0,7,1.0,1.0,7.0,1.0,7.0,3.0,3.0,밧돌오름,126.76007,33.46071398
1.0,40.0,24,2.0,3.0,5.0,3.0,2.0,6.0,2.0,서귀포치유의숲,126.5279042,33.29193935
0.0,20.0,4,6.0,2.0,1.0,6.0,5.0,2.0,4.0,뚜레쥬르 제주화순점,126.3335379,33.2462461
0.0,20.0,14,5.0,1.0,1.0,4.0,1.0,7.0,5.0,제주선물가게,126.9201204,33.44863235
0.0,40.0,17,2.0,2.0,2.0,2.0,1.0,7.0,5.0,제주 세계자연유산센터,126.7147213,33.45688437
1.0,30.0,7,2.0,2.0,3.0,3.0,3.0,4.0,3.0,애월온기,126.3112322,33.46011568
1.0,20.0,22,2.0,3.0,6.0,4.0,2.0,3.0,4.0,스타벅스 서귀포올레점,126.5637174,33.24827277
