GENDER,AGE_GRP,VISIT_ORDER,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,DGSTFN,VISIT_AREA_NM
0.0,20.0,4,6.0,2.0,1.0,6.0,5.0,2.0,4.0,뚜레쥬르 제주화순점
0.0,20.0,14,5.0,1.0,1.0,4.0,1.0,7.0,5.0,제주선물가게
0.0,40.0,17,2.0,2.0,2.0,2.0,1.0,7.0,5.0,제주 세계자연유산센터
1.0,30.0,7,2.0,2.0,3.0,3.0,3.0,4.0,3.0,애월온기
1.0,20.0,22,2.0,3.0,6.0,4.0,2.0,3.0,4.0,스타벅스 서귀포올레점
0.0,20.0,4,6.0,6.0,5.0,4.0,6.0,5.0,5.0,성산일출봉
1.0,30.0,16,4.0,3.0,2.0,4.0,6.0,1.0,5.0,제주약수터 올레시장점
1.0,20.0,20,3.0,1.0,4.0,4.0,2.0,4.0,5.0,본디국수
0.0,30.0,21,7.0,2.0,2.0,6.0,2.0,6.0,4.0,오드랑베이커리
0.0,20.0,6,6.0,2.0,5.0,6.0,2.0,7.0,5.0,스타벅스 제주성산DT점
1.0,20.0,8,4.0,1.0,4.0,4.0,6.0,6.0,4.0,국시트멍
1.0,20.0,5,4.0,1.0,4.0,4.0,4.0,7.0,5.0,공간키친
1.0,20.0,14,7.0,7.0,7.0,7.0,7.0,1.0,5.0,비양도
1.0,20.0,9,4.0,4.0,4.0,4.0,7.0,1.0,5.0,꽃게와낙지
1.0,30.0,13,4.0,2.0,2.0,3.0,6.0,5.0,4.0,카페태희
1.0,20.0,12,7.0,1.0,1.0,7.0,1.0,6.0,4.0,우무
1.0,20.0,7,1.0,1.0,6.0,5.0,4.0,7.0,5.0,옥돌슈퍼
0.0,40.0,18,1.0,1.0,2.0,3.0,2.0,4.0,5.0,독도문방구
1.0,20.0,23,2.0,4.0,4.0,5.0,6.0,6.0,5.0,제주동문재래시장
0.0,20.0,33,6.0,7.0,2.0,4.0,7.0,1.0,3.0,연돈볼카츠 제주성산일출봉점
0.0,20.0,37,4.0,3.0,6.0,3.0,6.0,3.0,2.0,한라산1100고지
0.0,20.0,16,2.0,3.0,2.0,3.0,6.0,5.0,4.0,간월암
1.0,40.0,9,2.0,2.0,4.0,3.0,2.0,2.0,5.0,만장굴
1.0,20.0,6,2.0,1.0,4.0,3.0,7.0,2.0,5.0,제주인스킨케어
0.0,30.0,11,5.0,1.0,4.0,2.0,2.0,5.0,2.0,강화화개산모노레일
1.0,30.0,11,4.0,1.0,4.0,4.0,2.0,4.0,3.0,책약방
0.0,20.0,11,2.0,2.0,3.0,3.0,6.0,6.0,2.0,해넘이마을
1.0,20.0,15,4.0,2.0,5.0,4.0,4.0,7.0,4.0,이호테우해수욕장
1.0,20.0,21,5.0,2.0,5.0,4.0,3.0,7.0,4.0,비양도
0.0,20.0,25,4.0,1.0,6.0,5.0,3.0,3.0,5.0,서귀포매일올레시장
0.0,30.0,5,2.0,3.0,1.0,2.0,1.0,7.0,4.0,용연계곡
1.0,20.0,20,7.0,4.0,7.0,7.0,6.0,6.0,4.0,알마커피제작소
0.0,30.0,21,2.0,2.0,4.0,5.0,2.0,6.0,5.0,카멜리아힐
1.0,30.0,30,4.0,5.0,3.0,2.0,7.0,2.0,5.0,전주부채문화관
1.0,30.0,14,1.0,7.0,1.0,1.0,7.0,4.0,5.0,쌍둥이횟집
0.0,30.0,17,7.0,2.0,2.0,6.0,2.0,6.0,2.0,투썸플레이스 제주루마인점
1.0,30.0,7,2.0,4.0,4.0,5.0,5.0,5.0,4.0,온오프
1.0,20.0,53,2.0,3.0,4.0,3.0,5.0,5.0,5.0,파리바게뜨 제주공항점
1.0,20.0,14,3.0,3.0,2.0,2.0,6.0,2.0,4.0,부부키친
1.0,20.0,35,2.0,3.0,7.0,4.0,6.0,3.0,5.0,용연계곡
0.0,30.0,5,1.0,1.0,2.0,3.0,4.0,3.0,5.0,장수물식당
1.0,20.0,7,1.0,1.0,1.0,1.0,7.0,1.0,5.0,제주고집
0.0,50.0,2,5.0,3.0,3.0,4.0,3.0,4.0,3.0,왈종미술관
1.0,20.0,2,2.0,2.0,3.0,3.0,3.0,6.0,2.0,교동제비집
1.0,30.0,5,1.0,7.0,1.0,1.0,2.0,6.0,3.0,제주동문재래시장
1.0,20.0,7,3.0,2.0,2.0,7.0,6.0,2.0,4.0,커피에반하다 영종중산점
0.0,30.0,3,2.0,2.0,2.0,4.0,4.0,7.0,5.0,대란갈비
1.0,30.0,10,2.0,1.0,3.0,4.0,2.0,4.0,4.0,매미성
0.0,30.0,19,3.0,4.0,4.0,3.0,4.0,5.0,3.0,예나르제주공예박물관
1.0,20.0,8,6.0,3.0,6.0,2.0,3.0,3.0,4.0,마틸다
0.0,30.0,12,4.0,1.0,5.0,6.0,3.0,2.0,5.0,천지연폭포
1.0,20.0,10,2.0,2.0,1.0,4.0,7.0,4.0,5.0,엘리펀트힙
1.0,20.0,12,2.0,1.0,4.0,3.0,2.0,7.0,5.0,애월감성
1.0,40.0,15,4.0,2.0,3.0,5.0,7.0,2.0,5.0,수산봉
1.0,30.0,8,2.0,3.0,6.0,5.0,7.0,7.0,4.0,양가네
1.0,30.0,9,1.0,1.0,2.0,2.0,7.0,5.0,5.0,제주흑돼지 노형그때그집
1.0,30.0,48,4.0,1.0,7.0,7.0,4.0,7.0,5.0,종달리해변
1.0,20.0,11,2.0,1.0,6.0,5.0,3.0,7.0,3.0,에이바우트커피 칠성점
1.0,20.0,2,4.0,1.0,4.0,4.0,6.0,6.0,5.0,몽스파 본점
1.0,30.0,14,1.0,4.0,3.0,4.0,2.0,7.0,5.0,투썸플레이스 제주곽지과물해변점
1.0,30.0,42,4.0,1.0,7.0,7.0,4.0,7.0,4.0,머문
1.0,20.0,6,3.0,1.0,4.0,4.0,2.0,4.0,4.0,성산일출봉
1.0,40.0,10,2.0,2.0,2.0,2.0,6.0,5.0,4.0,아놔고
1.0,40.0,4,4.0,3.0,7.0,5.0,5.0,5.0,5.0,천주교재단  마뗄쉼터
1.0,30.0,13,4.0,4.0,3.0,4.0,4.0,2.0,5.0,홉히워크룸
0.0,30.0,13,1.0,1.0,7.0,1.0,1.0,7.0,5.0,월령선인장군락지
1.0,20.0,7,2.0,1.0,4.0,3.0,7.0,2.0,4.0,CGV 제주노형
1.0,20.0,9,2.0,2.0,4.0,3.0,4.0,5.0,5.0,함덕해수욕장
1.0,30.0,18,2.0,7.0,7.0,4.0,6.0,3.0,5.0,제주동문재래야시장
1.0,20.0,36,3.0,3.0,3.0,5.0,2.0,6.0,5.0,영풍문고 용산아이파크몰점
0.0,20.0,9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,스타벅스 동성로광장점
1.0,40.0,11,2.0,6.0,4.0,3.0,2.0,7.0,5.0,비마이게스트
1.0,20.0,10,6.0,4.0,2.0,4.0,7.0,7.0,5.0,새물국수
1.0,40.0,3,1.0,7.0,5.0,2.0,6.0,6.0,4.0,항파두리 항몽유적지
0.0,30.0,18,3.0,2.0,4.0,5.0,7.0,2.0,5.0,카페톨
1.0,20.0,4,1.0,1.0,2.0,4.0,6.0,6.0,5.0,오는정김밥
0.0,30.0,6,2.0,1.0,5.0,4.0,3.0,7.0,4.0,말고기연구소
1.0,30.0,17,1.0,1.0,2.0,2.0,7.0,5.0,5.0,도주제김밥
1.0,20.0,14,3.0,2.0,3.0,4.0,5.0,5.0,5.0,스틸네거티브클럽
0.0,20.0,4,5.0,2.0,3.0,3.0,4.0,5.0,4.0,오르다
1.0,40.0,8,2.0,2.0,4.0,3.0,2.0,2.0,5.0,김녕사굴
1.0,20.0,22,4.0,4.0,2.0,5.0,1.0,2.0,5.0,섭지코지
1.0,40.0,5,1.0,7.0,1.0,1.0,7.0,7.0,4.0,살롱드라방
0.0,40.0,16,1.0,3.0,3.0,3.0,5.0,3.0,2.0,함덕해수욕장
1.0,20.0,10,6.0,1.0,1.0,1.0,4.0,5.0,4.0,동진식당
1.0,40.0,4,1.0,2.0,1.0,4.0,2.0,1.0,4.0,강화광성보
1.0,20.0,25,2.0,1.0,5.0,2.0,4.0,5.0,5.0,산굼부리
0.0,20.0,8,1.0,4.0,2.0,3.0,1.0,6.0,4.0,낭만카페
0.0,20.0,9,1.0,1.0,7.0,1.0,7.0,3.0,4.0,덕천리
1.0,40.0,16,1.0,1.0,1.0,1.0,7.0,7.0,5.0,제주해녀 항일운동기념공원
1.0,20.0,59,3.0,2.0,6.0,6.0,6.0,6.0,4.0,스타벅스 제주칠성점
1.0,30.0,13,2.0,2.0,2.0,2.0,6.0,5.0,4.0,밤의테이블
0.0,30.0,16,1.0,1.0,2.0,3.0,4.0,3.0,5.0,우정회센타
1.0,30.0,26,2.0,1.0,6.0,2.0,5.0,5.0,5.0,왈종미술관
